LGA,region_id,x200_799,x200_799_ppt
Albury (C),LGA10050,20733,0.6254
Armidale Regional (A),LGA10130,12561,0.6341
Ballina (A),LGA10250,19305,0.6803
Bathurst Regional (A),LGA10470,15148,0.5980
Bega Valley (A),LGA10550,15999,0.7020
Bellingen (A),LGA10600,6490,0.7157
Berrigan (A),LGA10650,4102,0.7004
Bland (A),LGA10800,2787,0.6631
Blayney (A),LGA10850,2971,0.6296
Blue Mountains (C),LGA10900,28794,0.5464
Botany Bay (C),LGA11100,15383,0.5976
Broken Hill (C),LGA11250,9592,0.6978
Burwood (A),LGA11300,11905,0.5341
Byron (A),LGA11350,13935,0.6923
Cabonne (A),LGA11400,5589,0.6434
Camden (A),LGA11450,16914,0.5077
Campbelltown (C) (NSW),LGA11500,55654,0.5726
Canada Bay (A),LGA11520,20986,0.4684
Cessnock (C),LGA11720,21251,0.6614
Clarence Valley (A),LGA11730,25403,0.7229
Cobar (A),LGA11750,1693,0.5301
Coffs Harbour (C),LGA11800,32867,0.6953
Coolamon (A),LGA12000,1988,0.7118
Coonamble (A),LGA12150,2052,0.7182
Cowra (A),LGA12350,6261,0.7029
Dungog (A),LGA12700,3557,0.6257
Eurobodalla (A),LGA12750,19228,0.7283
Fairfield (C),LGA12850,79846,0.6315
Forbes (A),LGA12900,4484,0.6917
Georges River (A),LGA12930,48367,0.5347
Gilgandra (A),LGA12950,2201,0.6985
Glen Innes Severn (A),LGA13010,4559,0.7311
Goulburn Mulwaree (A),LGA13310,11845,0.6372
Greater Hume Shire (A),LGA13340,4478,0.6513
Griffith (C),LGA13450,10207,0.6397
Gunnedah (A),LGA13550,5568,0.6901
Gwydir (A),LGA13660,2727,0.7251
Hawkesbury (C),LGA13800,22308,0.5430
Hornsby (A),LGA14000,48452,0.4665
Hunters Hill (A),LGA14100,3474,0.4622
Inner West (A),LGA14170,55250,0.4981
Inverell (A),LGA14200,7873,0.7161
Junee (A),LGA14300,2345,0.6654
Kempsey (A),LGA14350,14311,0.7430
Kiama (A),LGA14400,7935,0.5716
Ku-ring-gai (A),LGA14500,25661,0.4175
Kyogle (A),LGA14550,4808,0.7231
Lachlan (A),LGA14600,3130,0.6885
Lake Macquarie (C),LGA14650,84423,0.6322
Lane Cove (A),LGA14700,7892,0.4154
Leeton (A),LGA14750,4755,0.6286
Lismore (C),LGA14850,21547,0.6971
Lithgow (C),LGA14870,8945,0.6403
Liverpool (C),LGA14900,61690,0.5695
Liverpool Plains (A),LGA14920,3664,0.6929
Maitland (C),LGA15050,25900,0.6014
Mid-Coast (A),LGA15240,44941,0.7290
Mid-Western Regional (A),LGA15270,10030,0.6761
Moree Plains (A),LGA15300,5479,0.6277
Mosman (A),LGA15350,5575,0.3804
Murray River (A),LGA15520,5254,0.6888
Muswellbrook (A),LGA15650,5482,0.5633
Nambucca (A),LGA15700,10174,0.7647
Narrabri (A),LGA15750,5867,0.6497
Narrandera (A),LGA15800,2948,0.7021
Narromine (A),LGA15850,3096,0.6894
Newcastle (C),LGA15900,65373,0.6241
North Sydney (A),LGA15950,13650,0.3674
Oberon (A),LGA16100,2104,0.6041
Orange (C),LGA16150,15163,0.6166
Parkes (A),LGA16200,6681,0.6668
Penrith (C),LGA16350,65713,0.5519
Port Macquarie-Hastings (A),LGA16380,36302,0.7109
Port Stephens (A),LGA16400,27677,0.6419
Queanbeyan-Palerang Regional (A),LGA16490,16425,0.5007
Randwick (C),LGA16550,40424,0.4860
Richmond Valley (A),LGA16610,11310,0.7387
Rockdale (C),LGA16650,37844,0.5781
Ryde (C),LGA16700,34523,0.4993
Shellharbour (C),LGA16900,25757,0.6124
Shoalhaven (C),LGA16950,45083,0.6960
Singleton (A),LGA17000,7469,0.5247
Snowy Valleys (A),LGA17080,6665,0.6561
Strathfield (A),LGA17100,10969,0.5025
Tamworth Regional (A),LGA17310,25405,0.6617
Temora (A),LGA17350,2986,0.7031
Tenterfield (A),LGA17400,3553,0.7438
The Hills Shire (A),LGA17420,48170,0.4473
Tweed (A),LGA17550,40946,0.7071
Upper Hunter Shire (A),LGA17620,5935,0.6450
Upper Lachlan Shire (A),LGA17640,3268,0.6501
Uralla (A),LGA17650,2798,0.6757
Wagga Wagga (C),LGA17750,25249,0.6202
Walgett (A),LGA17900,3306,0.7187
Warrumbungle Shire (A),LGA18020,4942,0.7219
Waverley (A),LGA18050,16734,0.4588
Wentworth (A),LGA18200,3185,0.6761
Western Plains Regional (A),LGA18230,20128,0.6510
Willoughby (C),LGA18250,16954,0.4230
Wingecarribee (A),LGA18350,17507,0.5985
Wollondilly (A),LGA18400,14534,0.5321
Wollongong (C),LGA18450,78615,0.5941
Woollahra (A),LGA18500,10532,0.3785
Yass Valley (A),LGA18710,4899,0.5435
