LGA,region_id,$800-$1249,$800-$1249_ppt
Albury (C),LGA10050,7503,0.208341432
Armidale Regional (A),LGA10130,3570,0.175137363
Ballina (A),LGA10250,5626,0.185327931
Bathurst Regional (A),LGA10470,5421,0.193193158
Bega Valley (A),LGA10550,4462,0.185437619
Bellingen (A),LGA10600,1519,0.168534339
Berrigan (A),LGA10650,1033,0.1771262
Bland (A),LGA10800,701,0.184376644
Blayney (A),LGA10850,969,0.193722511
Blue Mountains (C),LGA10900,10183,0.178108548
Botany Bay (C),LGA11100,6828,0.206614821
Broken Hill (C),LGA11250,1916,0.152377923
Burwood (A),LGA11300,5001,0.193702068
Byron (A),LGA11350,4070,0.18776527
Cabonne (A),LGA11400,1682,0.185528348
Camden (A),LGA11450,11598,0.216392709
Campbelltown (C) (NSW),LGA11500,23883,0.231131026
Canada Bay (A),LGA11520,11492,0.174229446
Cessnock (C),LGA11720,6471,0.173317977
Clarence Valley (A),LGA11730,5599,0.156243896
Cobar (A),LGA11750,458,0.149185668
Coffs Harbour (C),LGA11800,9638,0.188194404
Coolamon (A),LGA12000,579,0.208273381
Coonamble (A),LGA12150,404,0.171259008
Cowra (A),LGA12350,1491,0.172011998
Dungog (A),LGA12700,1118,0.17830941
Eurobodalla (A),LGA12750,4730,0.174339317
Fairfield (C),LGA12850,24212,0.187257344
Forbes (A),LGA12900,1213,0.191566646
Georges River (A),LGA12930,20781,0.20080007
Gilgandra (A),LGA12950,506,0.179051663
Glen Innes Severn (A),LGA13010,963,0.161495891
Goulburn Mulwaree (A),LGA13310,4027,0.197025295
Greater Hume Shire (A),LGA13340,1424,0.207157405
Griffith (C),LGA13450,3880,0.233215123
Gunnedah (A),LGA13550,1508,0.177998111
Gwydir (A),LGA13660,648,0.188098694
Hawkesbury (C),LGA13800,9775,0.214830443
Hornsby (A),LGA14000,17482,0.166428667
Hunters Hill (A),LGA14100,1324,0.135516888
Inner West (A),LGA14170,24656,0.173018491
Inverell (A),LGA14200,2091,0.189556704
Junee (A),LGA14300,710,0.195001373
Kempsey (A),LGA14350,3073,0.159049739
Kiama (A),LGA14400,2833,0.175417957
Ku-ring-gai (A),LGA14500,12243,0.143564066
Kyogle (A),LGA14550,941,0.151970284
Lachlan (A),LGA14600,751,0.193108768
Lake Macquarie (C),LGA14650,26821,0.185092405
Lane Cove (A),LGA14700,4371,0.156790301
Leeton (A),LGA14750,1615,0.222666483
Lismore (C),LGA14850,5878,0.193177337
Lithgow (C),LGA14870,2360,0.1642882
Liverpool (C),LGA14900,27511,0.213895303
Liverpool Plains (A),LGA14920,951,0.184052642
Maitland (C),LGA15050,10309,0.18936096
Mid-Coast (A),LGA15240,10028,0.154374298
Mid-Western Regional (A),LGA15270,2535,0.155836971
Moree Plains (A),LGA15300,1754,0.213381995
Mosman (A),LGA15350,2909,0.134831981
Murray River (A),LGA15520,1607,0.196743389
Muswellbrook (A),LGA15650,1713,0.15799668
Nambucca (A),LGA15700,2059,0.151978152
Narrabri (A),LGA15750,1675,0.196250732
Narrandera (A),LGA15800,743,0.195474875
Narromine (A),LGA15850,795,0.191658631
Newcastle (C),LGA15900,21392,0.183808493
North Sydney (A),LGA15950,8398,0.144933039
Oberon (A),LGA16100,716,0.204922725
Orange (C),LGA16150,5383,0.191661326
Parkes (A),LGA16200,1702,0.174456745
Penrith (C),LGA16350,31259,0.233857272
Port Macquarie-Hastings (A),LGA16380,9839,0.173876931
Port Stephens (A),LGA16400,8868,0.18022925
Queanbeyan-Palerang Regional (A),LGA16490,8187,0.196203897
Randwick (C),LGA16550,17466,0.172065256
Richmond Valley (A),LGA16610,2835,0.18323423
Rockdale (C),LGA16650,16515,0.213468623
Ryde (C),LGA16700,15774,0.186097544
Shellharbour (C),LGA16900,8794,0.182607251
Shoalhaven (C),LGA16950,11774,0.165989962
Singleton (A),LGA17000,2496,0.154045547
Snowy Valleys (A),LGA17080,1802,0.18474472
Strathfield (A),LGA17100,5651,0.204014585
Tamworth Regional (A),LGA17310,8816,0.214935271
Temora (A),LGA17350,789,0.185167801
Tenterfield (A),LGA17400,670,0.147739802
The Hills Shire (A),LGA17420,19294,0.169642936
Tweed (A),LGA17550,11764,0.180995754
Upper Hunter Shire (A),LGA17620,1760,0.1813872
Upper Lachlan Shire (A),LGA17640,1025,0.1903789
Uralla (A),LGA17650,794,0.186999529
Wagga Wagga (C),LGA17750,9605,0.218042723
Walgett (A),LGA17900,596,0.153410553
Warrumbungle Shire (A),LGA18020,965,0.158274561
Waverley (A),LGA18050,8389,0.165672644
Wentworth (A),LGA18200,842,0.187444346
Western Plains Regional (A),LGA18230,7007,0.207307692
Willoughby (C),LGA18250,8172,0.151856394
Wingecarribee (A),LGA18350,6525,0.189525967
Wollondilly (A),LGA18400,6881,0.205041867
Wollongong (C),LGA18450,25040,0.169396356
Woollahra (A),LGA18500,5844,0.140234684
Yass Valley (A),LGA18710,2113,0.179022282
