LGA,region_id,Non-Indigenous,Indigenous
Albury (C),LGA10050,0.970044475,0.029955525
Armidale Regional (A),LGA10130,0.919138284,0.080861716
Ballina (A),LGA10250,0.964707133,0.035292867
Bathurst Regional (A),LGA10470,0.938752265,0.061247735
Bega Valley (A),LGA10550,0.965884861,0.034115139
Bellingen (A),LGA10600,0.962214411,0.037785589
Berrigan (A),LGA10650,0.974278215,0.025721785
Bland (A),LGA10800,0.952219714,0.047780286
Blayney (A),LGA10850,0.954368058,0.045631942
Blue Mountains (C),LGA10900,0.97467461,0.02532539
Botany Bay (C),LGA11100,0.982357254,0.017642746
Broken Hill (C),LGA11250,0.907402792,0.092597208
Burwood (A),LGA11300,0.995919092,0.004080908
Byron (A),LGA11350,0.9795518,0.0204482
Cabonne (A),LGA11400,0.958226221,0.041773779
Camden (A),LGA11450,0.973522033,0.026477967
Campbelltown (C) (NSW),LGA11500,0.961959725,0.038040275
Canada Bay (A),LGA11520,0.994948106,0.005051894
Cessnock (C),LGA11720,0.916740959,0.083259041
Clarence Valley (A),LGA11730,0.931437409,0.068562591
Cobar (A),LGA11750,0.846226863,0.153773137
Coffs Harbour (C),LGA11800,0.946898895,0.053101105
Coolamon (A),LGA12000,0.964821521,0.035178479
Coonamble (A),LGA12150,0.664457831,0.335542169
Cowra (A),LGA12350,0.912407473,0.087592527
Dungog (A),LGA12700,0.944777911,0.055222089
Eurobodalla (A),LGA12750,0.940660903,0.059339097
Fairfield (C),LGA12850,0.992099371,0.007900629
Forbes (A),LGA12900,0.884217781,0.115782219
Georges River (A),LGA12930,0.994803385,0.005196615
Gilgandra (A),LGA12950,0.849115505,0.150884495
Glen Innes Severn (A),LGA13010,0.925694271,0.074305729
Goulburn Mulwaree (A),LGA13310,0.955970362,0.044029638
Greater Hume Shire (A),LGA13340,0.963602714,0.036397286
Griffith (C),LGA13450,0.946869887,0.053130113
Gunnedah (A),LGA13550,0.860963514,0.139036486
Gwydir (A),LGA13660,0.933641327,0.066358673
Hawkesbury (C),LGA13800,0.959868661,0.040131339
Hornsby (A),LGA14000,0.995402162,0.004597838
Hunters Hill (A),LGA14100,0.991404011,0.008595989
Inner West (A),LGA14170,0.98865281,0.01134719
Inverell (A),LGA14200,0.907340067,0.092659933
Junee (A),LGA14300,0.894736842,0.105263158
Kempsey (A),LGA14350,0.874623267,0.125376733
Kiama (A),LGA14400,0.97969902,0.02030098
Ku-ring-gai (A),LGA14500,0.998010913,0.001989087
Kyogle (A),LGA14550,0.954545455,0.045454545
Lachlan (A),LGA14600,0.817293777,0.182706223
Lake Macquarie (C),LGA14650,0.956651364,0.043348636
Lane Cove (A),LGA14700,0.995506415,0.004493585
Leeton (A),LGA14750,0.937920127,0.062079873
Lismore (C),LGA14850,0.943907357,0.056092643
Lithgow (C),LGA14870,0.934137291,0.065862709
Liverpool (C),LGA14900,0.984397418,0.015602582
Liverpool Plains (A),LGA14920,0.862400906,0.137599094
Maitland (C),LGA15050,0.944382554,0.055617446
Mid-Coast (A),LGA15240,0.932776791,0.067223209
Mid-Western Regional (A),LGA15270,0.937292818,0.062707182
Moree Plains (A),LGA15300,0.773362892,0.226637108
Mosman (A),LGA15350,0.997964335,0.002035665
Murray River (A),LGA15520,0.970001863,0.029998137
Muswellbrook (A),LGA15650,0.912134977,0.087865023
Nambucca (A),LGA15700,0.919779968,0.080220032
Narrabri (A),LGA15750,0.868173258,0.131826742
Narrandera (A),LGA15800,0.89516129,0.10483871
Narromine (A),LGA15850,0.792511165,0.207488835
Newcastle (C),LGA15900,0.963392869,0.036607131
North Sydney (A),LGA15950,0.996466551,0.003533449
Oberon (A),LGA16100,0.963306452,0.036693548
Orange (C),LGA16150,0.930450411,0.069549589
Parkes (A),LGA16200,0.888787325,0.111212675
Penrith (C),LGA16350,0.957855658,0.042144342
Port Macquarie-Hastings (A),LGA16380,0.956036801,0.043963199
Port Stephens (A),LGA16400,0.948700282,0.051299718
Queanbeyan-Palerang Regional (A),LGA16490,0.967374636,0.032625364
Randwick (C),LGA16550,0.982251923,0.017748077
Richmond Valley (A),LGA16610,0.92173245,0.07826755
Rockdale (C),LGA16650,0.992787517,0.007212483
Ryde (C),LGA16700,0.996111029,0.003888971
Shellharbour (C),LGA16900,0.959685287,0.040314713
Shoalhaven (C),LGA16950,0.93952235,0.06047765
Singleton (A),LGA17000,0.940241988,0.059758012
Snowy Valleys (A),LGA17080,0.95263079,0.04736921
Strathfield (A),LGA17100,0.996954741,0.003045259
Tamworth Regional (A),LGA17310,0.888905402,0.111094598
Temora (A),LGA17350,0.973380035,0.026619965
Tenterfield (A),LGA17400,0.933379121,0.066620879
The Hills Shire (A),LGA17420,0.99455164,0.00544836
Tweed (A),LGA17550,0.956200643,0.043799357
Upper Hunter Shire (A),LGA17620,0.942866112,0.057133888
Upper Lachlan Shire (A),LGA17640,0.974789916,0.025210084
Uralla (A),LGA17650,0.924459113,0.075540887
Wagga Wagga (C),LGA17750,0.941871406,0.058128594
Walgett (A),LGA17900,0.693977591,0.306022409
Warrumbungle Shire (A),LGA18020,0.893291955,0.106708045
Waverley (A),LGA18050,0.994854555,0.005145445
Wentworth (A),LGA18200,0.899111675,0.100888325
Western Plains Regional (A),LGA18230,0.82703751,0.17296249
Willoughby (C),LGA18250,0.998177864,0.001822136
Wingecarribee (A),LGA18350,0.979317091,0.020682909
Wollondilly (A),LGA18400,0.966714716,0.033285284
Wollongong (C),LGA18450,0.972787548,0.027212452
Woollahra (A),LGA18500,0.996653774,0.003346226
Yass Valley (A),LGA18710,0.972637822,0.027362178
